brewery,link,type,address
Alchimiste - Microbrasserie (Vilains Brasseurs),/brewers/alchimiste-microbrasserie-vilains-brasseurs/1414/,Microbrewery,"681, Rue Marion, Joliette, Quebec, J6E 8S3, Canada"
Ale Architect,/brewers/ale-architect/36868/,Client Brewer,"9918 76 Ave NW,, Edmonton, Alberta, T6E 1K7, Canada"
Alexander Keith's Brewery / Oland Brewery (Labatt - AB InBev),/brewers/alexander-keith39s-brewery-oland-brewery-labatt-ab-inbev/1220/,Commercial Brewery,"3055 Agricola St, Halifax, Nova Scotia, B3K 4G2, Canada"
All My Friends Beer Co.,/brewers/all-my-friends-beer-co/49113/,Microbrewery,"8 Stanley St Unit 5, Bloomfield, Ontario, K0K 1G0, Canada"
All Or Nothing Brewhouse,/brewers/all-or-nothing-brewhouse/20007/,Microbrewery,"439 Ritson Rd S, Oshawa, Ontario, L1H5J8, Canada"
Alley Kat Brewing Company,/brewers/alley-kat-brewing-company/709/,Microbrewery,"9929 60 Avenue NW, Edmonton, Alberta, T6E OC7, Canada"
Altitude Beer Co.,/brewers/altitude-beer-co/40631/,Client Brewer,"British Columbia, Canada"
Amber Brewery (Canada),/brewers/amber-brewery-canada/9412/,Microbrewery,"130 Riviera Dr, Unit 3, Markham, Ontario, L3R 5M1, Canada"
Amsterdam Brewery,/brewers/amsterdam-brewery/1447/,Microbrewery,"45 Esandar Drive, Toronto, Ontario, M4G 4C5, Canada"
Analog Brewing,/brewers/analog-brewing/35967/,Microbrewery,"8620 53 Ave NW, Edmonton, Alberta, T6E 5G2, Canada"
Anderson Craft Ales,/brewers/anderson-craft-ales/27984/,Microbrewery,"1030 Elias Street, London, Ontario, N5W 3P6, Canada"
Angry Hen Brewing,/brewers/angry-hen-brewing/34255/,Brewpub/Brewery,"343 Front St, Kaslo, British Columbia, V0G 1M0, Canada"
Annapolis Brewing Company,/brewers/annapolis-brewing-company/40523/,Commercial Brewery,"302 St George Street, Annapolis Royal, Nova Scotia, B0S 1A0, Canada"
Annex Ale Project,/brewers/annex-ale-project/31707/,Brewpub,"4323 1 St SE, Calgary, Alberta, T2G 2L2, Canada"
Another Beer Co.,/brewers/another-beer-co/37774/,Microbrewery,"30 Capilano Way # 11, New Westminster, British Columbia, V3L 5M3, Canada"
Apex Brewing,/brewers/apex-brewing/24724/,Microbrewery,"53527 Range Road 181A, Yellowhead County, Alberta, T7E 3T7, Canada"
ArBru,/brewers/arbru/49356/,Microbrewery,"71 Quabbin Road, Mallorytown, Ontario, K0E 1R0, Canada"
Arcadia Brewing Co.,/brewers/arcadia-brewing-co/44602/,Microbrewery,"10712 120 Street NW, Edmonton, Alberta, T5K 2N7, Canada"
Arch Brewing Company,/brewers/arch-brewing-company/19301/,Client Brewer,"Ontario, Canada"
Archibald - Microbrasserie (Labatt - AB InBev),/brewers/archibald-microbrasserie-labatt-ab-inbev/5994/,Brewpub/Brewery,"1530, Avenue des Affaires, Québec, Quebec, G3J 1Y8, Canada"
Armoury Brewing Company,/brewers/armoury-brewing-company/43186/,Microbrewery,"712 102 St, North Battleford, Saskatchewan, S9A 1E3, Canada"
Arrowhead Brewing Company,/brewers/arrowhead-brewing-company/15983/,Microbrewery,"481 Arrow Road, Invermere, British Columbia, V0A1K2, Canada"
Ashton Brewing Company (Canada),/brewers/ashton-brewing-company-canada/13528/,Brewpub,"113 Old Mill Road, Ashton, Ontario, K0A 1B0, Canada"
Asymmetrical Brewing,/brewers/asymmetrical-brewing/50432/,Microbrewery,"11821 105 Ave NW, Edmonton, Alberta, T5H 0L9, Canada"
Atlas Brewing,/brewers/atlas-brewing/47685/,Microbrewery,"#100, 2000 Market Street SE, Airdrie, Alberta, T4A 0R8, Canada"
Aubier - Microbrasserie,/brewers/aubier-microbrasserie/49701/,Brewpub,"150 Rue Girouard, Drummondville, Quebec, J2C 4M8, Canada"
Authentic Seacoast Brewery - Rare Bird Craft Beer,/brewers/authentic-seacoast-brewery-rare-bird-craft-beer/5950/,Brewpub/Brewery,"80 Main Street, Guysborough, Nova Scotia, B0H 1N0, Canada"
Aux Fous Brassant - Microbrasserie,/brewers/aux-fous-brassant-microbrasserie/14733/,Brewpub/Brewery,"262, Rue Lafontaine, Rivière-du-Loup, Quebec, G5R 3A8, Canada"
Avant-Garde - Artisans Brasseurs (Avant-Garde),/brewers/avant-garde-artisans-brasseurs-avant-garde/27375/,Brewpub/Brewery,"5500 rue Hochelaga, local 150, Montréal, Quebec, H1N 3L7, Canada"
Avling Kitchen & Brewery,/brewers/avling-kitchen-brewery/40462/,Brewpub/Brewery,"1042 Queen Street East, Toronto, Ontario, M4M 1K4, Canada"
Baccalieu Trail Brewing Co.,/brewers/baccalieu-trail-brewing-co/38116/,Microbrewery,"1 Conception Bay Highway, Bay Roberts, Newfoundland, A0A 2R0, Canada"
Back Forty Brewery,/brewers/back-forty-brewery/43196/,Brewpub/Brewery,"54 Darlington St W, Yorkton, Saskatchewan, S3N 3S3, Canada"
Backcountry Brewing (Canada),/brewers/backcountry-brewing-canada/30820/,Brewpub/Brewery,"405-1201 Commercial Way, Squamish, British Columbia, V8B 0R5, Canada"
Backroads Brewing Co.,/brewers/backroads-brewing-co/30773/,Brewpub/Brewery,"460 Baker St, Nelson, British Columbia, V1L 4H8, Canada"
Backstage Brewing,/brewers/backstage-brewing/33110/,Microbrewery,"37 Bridge Ave, Stellarton, Nova Scotia, B0K 1S0, Canada"
Backyard Brewing Company (Canada),/brewers/backyard-brewing-company-canada/45435/,Client Brewer,"96 Norfolk Street North, Simcoe, Ontario, N3Y 3N7, Canada"
Bad Apple Brewhouse [BAB],/brewers/bad-apple-brewhouse-bab/18871/,Microbrewery,"515 Parker Condon Road, Berwick, Nova Scotia, B0P 1E0, Canada"
Bad Apple Brewing Company,/brewers/bad-apple-brewing-company/31669/,Microbrewery,"73463 Bluewater Hwy, Zurich, Ontario, N0M 2T0, Canada"
Bad Dog Brewing Company (Canada),/brewers/bad-dog-brewing-company-canada/34251/,Microbrewery,"7861 Tugwell Rd, Sooke, British Columbia, V9Z 0J7, Canada"
Badlands Brewing Company (Canada),/brewers/badlands-brewing-company-canada/35093/,Microbrewery,"13926 Chinguacousy Rd, Caledon, Ontario, L7C 1Z3, Canada"
Bagtown Brewing Company,/brewers/bagtown-brewing-company/31106/,Brewpub/Brewery,"62 Main St, Sackville, New Brunswick, E4L 4A7, Canada"
Balderdash Brewing Co. (NorthAm Beverages),/brewers/balderdash-brewing-co-northam-beverages/27378/,Client Brewer,"British Columbia, Canada"
Baleine Endiablée - Brasserie Indépendante,/brewers/baleine-endiablee-brasserie-independante/39862/,Brewpub/Brewery,"229, route 132, Rivière-Ouelle, Quebec, G0L 2C0, Canada"
Bancroft Brewing Co.,/brewers/bancroft-brewing-co/25264/,Brewpub/Brewery,"4 Bridge St W, Bancroft, Ontario, K0L 1C0, Canada"
Banded Goose Brewing Co.,/brewers/banded-goose-brewing-co/28045/,Brewpub,"51 Division Street South, Kingsville, Ontario, Canada"
Banded Peak Brewing,/brewers/banded-peak-brewing/27105/,Microbrewery,"519-34 Ave SE, Unit 119, Calgary, Alberta, T2G1V1, Canada"
Bandit Brewery,/brewers/bandit-brewery/26998/,Brewpub/Brewery,"2125 Dundas St W, Toronto, Ontario, M6R 1X1, Canada"
Banff Ave Brewing Company (Bear Hill Brewing),/brewers/banff-ave-brewing-company-bear-hill-brewing/11867/,Brewpub,"110 Banff Ave, 2nd Floor, Banff, Alberta, T1L 1A9, Canada"
Banished Brewing,/brewers/banished-brewing/49259/,Microbrewery,"9 Maverick Place, Paradise, Newfoundland, A1L 1Y8, Canada"
Bannerman Brewing Co.,/brewers/bannerman-brewing-co/38113/,Microbrewery,"90 Duckworth St., St. John's, Newfoundland, A1C1E7, Canada"
Banter & Co. Brewing,/brewers/banter-co-brewing/48912/,Microbrewery,"66 Baldwin St Suite 100, Brooklin, Ontario, L1M 1A3, Canada"
Bar Hop Brewco,/brewers/bar-hop-brewco/30103/,Brewpub,"137 Peter Street, Toronto, Ontario, M5V 2H3, Canada"
Barbe Broue Microbrasserie,/brewers/barbe-broue-microbrasserie/26717/,Microbrewery,"217, route 101, Nédélec, Quebec, J0Z 2Z0, Canada"
Barbe Rouge - Brasseur Itinérant,/brewers/barbe-rouge-brasseur-itinerant/34540/,Client Brewer,"Quebec, Canada"
Barkerville Brewing Co.,/brewers/barkerville-brewing-co/17991/,Microbrewery,"185 Davie Street, Quesnel, British Columbia, V2J 2S8, Canada"
Barley Days Brewery,/brewers/barley-days-brewery/1343/,Microbrewery,"13730 Loyalist Parkway, Picton, Ontario, K0K 2T0, Canada"
Barley Mill Brew Pub,/brewers/barley-mill-brew-pub/3634/,Brewpub,"2460 Skaha Lake Rd., Penticton, British Columbia, http://www.barleymillpub.com, Canada"
Barn Hammer Brewing Company,/brewers/barn-hammer-brewing-company/25766/,Brewpub/Brewery,"595 Wall Street, Winnipeg, Manitoba, R3G 2T3, Canada"
Barn Owl Brewing Company (Canada),/brewers/barn-owl-brewing-company-canada/40465/,Microbrewery,"102 - 4629 Lakeshore Road, Kelowna, British Columbia, V1W 1X3, Canada"
BarNone Brewery and Hop Farm,/brewers/barnone-brewery-and-hop-farm/17462/,Microbrewery,"4248 Route 225, Breadalbane, Prince Edward Island, C0A 1E0, Canada"
Barnside Brewing Co.,/brewers/barnside-brewing-co/42371/,Microbrewery,"6655 60th Ave, Delta, British Columbia, V4K 4E2, Canada"
Barnstormer Brewing & Distilling Co.,/brewers/barnstormer-brewing-distilling-co/17952/,Brewpub/Brewery,"384 Yonge St., Barrie, Ontario, L4N 4C8, Canada"
Barrel Heart Brewing & Blending,/brewers/barrel-heart-brewing-blending/50319/,Microbrewery,"53 Bittern St #20, Ancaster, Ontario, L9G 4V5, Canada"
Batch 44 Brewery & Kitchen,/brewers/batch-44-brewery-kitchen/42534/,Brewpub/Brewery,"5559 Wharf St, Sechelt, British Columbia, V0N 3A0, Canada"
Battle River Brewery,/brewers/battle-river-brewery/37733/,Microbrewery,"4720 - 37 Street, Bay A, Camrose, Alberta, Canada"
Bay de Verde Brewing,/brewers/bay-de-verde-brewing/51815/,Microbrewery,"1 Bear's Cove Rd, Bay de Verde, Newfoundland, A0A 1E0, Canada"
Bayfield Brewing Co.,/brewers/bayfield-brewing-co/31665/,Brewpub/Brewery,"14 Bayfield Main St N, Bayfield, Ontario, N0M 1G0, Canada"
Bayside Brewing Co.,/brewers/bayside-brewing-co/16660/,Microbrewery,"970 Ross Lane P.O. Box 14, Erieau, Ontario, N0P 1N0, Canada"
Bayview Brewing,/brewers/bayview-brewing/48908/,Brewpub,"204 Dogwood Dr, Ladysmith, British Columbia, V9G1S8, Canada"
BC Brew Company,/brewers/bc-brew-company/29672/,Client Brewer,"British Columbia, Canada"
Beach Fire Brewing,/brewers/beach-fire-brewing/29888/,Brewpub,"594 11 Ave, Campbell River, British Columbia, V9W 4G4, Canada"
Beaches Brewing Co.,/brewers/beaches-brewing-co/30625/,Brewpub/Brewery,"1953 Queen St E, Toronto, Ontario, M4L 1H7, Canada"
Beacon Brewing,/brewers/beacon-brewing/47673/,Microbrewery,"9829 Third Street, Sidney, British Columbia, V8L3A7, Canada"
Beard's Brewing Co.,/brewers/beard39s-brewing-co/33873/,Microbrewery,"10408 Alaska Road North, Fort St. John, British Columbia, Canada"
Beat & Betterave - Nanobrasserie,/brewers/beat-betterave-nanobrasserie/41966/,Brewpub,"1C0, 41 Rue Principale, Frelighsburg, Quebec, J0J 1C0, Canada"
Beau's Brewing Co. / Halcyon Barrel House,/brewers/beau39s-brewing-co-halcyon-barrel-house/6919/,Microbrewery,"10 Terry Fox Drive, Vankleek Hill, Ontario, K0B 1R0, Canada"
Beauregard - Brasserie Distillerie,/brewers/beauregard-brasserie-distillerie/38148/,Brewpub/Brewery,"2255A, Rue Dandurand, Montréal, Quebec, H2G 1Z3, Canada"
Beaver River Brew Co.,/brewers/beaver-river-brew-co/44275/,Client Brewer,"Bonnyville, Alberta, Canada"
Bedondaine et Bedons Ronds - Brasseur Artisan,/brewers/bedondaine-et-bedons-ronds-brasseur-artisan/5843/,Brewpub,"255, Rue Petrozza, Chambly, Quebec, J3L 2Z7, Canada"
Beere Brewing Co.,/brewers/beere-brewing-co/33303/,Microbrewery,"312 Esplanade E, North Vancouver, British Columbia, V7L 1A4, Canada"
Beerlab!,/brewers/beerlab/26212/,Brewpub/Brewery,"420 Talbot Street, London, Ontario, N6A 2S2, Canada"
Belgh Brasse (Groupe Geloso),/brewers/belgh-brasse-groupe-geloso/1389/,Microbrewery,"3838 Boulevard Leman, Laval, Quebec, H7E 1A1, Canada"
Bell City Brewing Co.,/brewers/bell-city-brewing-co/16871/,Brewpub/Brewery,"51 Woodyatt Dr #9, Brantford, Brantford, Ontario, N3R 7K3, Canada"
Belle River Brewhouse,/brewers/belle-river-brewhouse/47063/,Brewpub,"499 Notre Dame St,, Belle River, Ontario, N0R 1A0, Canada"
Bellwoods Brewery,/brewers/bellwoods-brewery/14297/,Brewpub/Brewery,"124 Ossington Ave, Toronto, Ontario, M6J 2Z5, Canada"
Belly Hop Brewing,/brewers/belly-hop-brewing/43152/,Brewpub/Brewery,"8105 Edgar Industrial Dr, Red Deer, Alberta, T4P 3R2, Canada"
Belmont Lake Brewery,/brewers/belmont-lake-brewery/28062/,Microbrewery,"53 Fire Route 17, Havelock, Ontario, K0L 1Z0, Canada"
Bench Brewing Company,/brewers/bench-brewing-company/27804/,Microbrewery,"3991 King St, Beamsville, Ontario, L0R 1B1, Canada"
Benelux - Brasserie Artisanale / Brasserie du Canal,/brewers/benelux-brasserie-artisanale-brasserie-du-canal/6830/,Brewpub/Brewery,"3810, Rue Saint-Patrick, Montréal, Quebec, H4E 1A4, Canada"
Bent Nail Crafted Beers,/brewers/bent-nail-crafted-beers/42137/,Brewpub/Brewery,"4499 NS-14, Windsor, Nova Scotia, B0N 2T0, Canada"
Bent Stick Brewing,/brewers/bent-stick-brewing/27875/,Microbrewery,"5416 - 136th Ave NW, Edmonton, Alberta, T5A 0E4, Canada"
Bercée Microbrasserie,/brewers/bercee-microbrasserie/44521/,Brewpub/Brewery,"150, Route 169, Hébertville, Quebec, G8B 1M8, Canada"
Best Of Kin,/brewers/best-of-kin/45308/,Microbrewery,"1059 14 St SW, Calgary, Alberta, T3C 3T5, Canada"
Better Brother Brewing Co.,/brewers/better-brother-brewing-co/44315/,Brewpub/Brewery,"536 2nd Ave N #150, Saskatoon, Saskatchewan, S7K 2C5, Canada"
Beyond the Pale Brewing Company,/brewers/beyond-the-pale-brewing-company/15396/,Microbrewery,"5 Hamilton Avenue North, Ottawa, Ontario, K1Y 1B6, Canada"
Bicycle Craft Brewery,/brewers/bicycle-craft-brewery/20902/,Microbrewery,"850 Industrial Ave, Unit 12, Ottawa, Ontario, K1G 4K2, Canada"
Bière Pop - Microbrasserie OBNL,/brewers/biere-pop-microbrasserie-obnl/35543/,Client Brewer,"Quebec, Canada"
Bière Sans Alcool [BSA],/brewers/biere-sans-alcool-bsa/43214/,Client Brewer,"Montreal, Quebec, Canada"
Bière Watford,/brewers/biere-watford/42798/,Client Brewer,"Québec, Quebec, Canada"
Bièrerie Shelton,/brewers/biererie-shelton/31798/,Microbrewery,"2100 Mnt Saint-Jean-Baptiste, Saint-Mathieu-de-Beloeil, Quebec, Canada"
Bières Jukebox (Avant-Garde),/brewers/bieres-jukebox-avant-garde/15116/,Brewpub/Brewery,"5500 rue Hochelaga, local 150, Montréal, Quebec, H1N 3L7, Canada"
Bières Tamarac,/brewers/bieres-tamarac/45736/,Microbrewery,"Montréal, Quebec, Canada"
Big Axe Brewery,/brewers/big-axe-brewery/20847/,Brewpub/Brewery,"519 Otis Drive, Nackawic, New Brunswick, E6G 1H6, Canada"
Big Bear Brewery,/brewers/big-bear-brewery/43805/,Microbrewery,"8860 Jim Bailey Crescent, Kelowna, British Columbia, V4V 2N4, Canada"
Big Beaver Brewing,/brewers/big-beaver-brewing/43158/,Microbrewery,"Calgary, Alberta, Canada"
Big Family Brewing Company,/brewers/big-family-brewing-company/43632/,Microbrewery,"485 Harbour Rd, Sarnia, Ontario, N7T 5R8, Canada"
Big Rig Brewery,/brewers/big-rig-brewery/14698/,Brewpub,"2750A Iris Street, Ottawa, Ontario, K2C 1E6, Canada"
Big Rock Brewery,/brewers/big-rock-brewery/8/,Commercial Brewery,"5555 76th Avenue, Calgary, Alberta, T2C 4L8, Canada"
Big Spruce Brewing,/brewers/big-spruce-brewing/16419/,Microbrewery,"64 Yankee Line Road, Baddeck, Nova Scotia, B0E 1B0, Canada"
Big Tide Brewing Company,/brewers/big-tide-brewing-company/10702/,Brewpub,"47 Princess Street, Saint John, New Brunswick, E2L 1K1, Canada"
Bikecoeur Broue,/brewers/bikecoeur-broue/31731/,Client Brewer,"Sherrington, Quebec, Canada"
Birra Fanelli,/brewers/birra-fanelli/41667/,Microbrewery,"100 Rue Plante, Sorel-Tracy, Quebec, J3P 7P5, Canada"
Bishop's Arches Brewery,/brewers/bishop39s-arches-brewery/32855/,Microbrewery,"2600, Rue College (Johnson Building, room J214), Sherbrooke, Quebec, J1M 1Z7, Canada"
Bistro-Brasserie Les Soeurs Grises,/brewers/bistro-brasserie-les-soeurs-grises/14232/,Brewpub,"32, Rue McGill, Montréal, Quebec, H2Y 4B5, Canada"
Bitter Sisters Brewing Company,/brewers/bitter-sisters-brewing-company/43159/,Brewpub/Brewery,"510 Heritage Dr SW, Calgary, Alberta, T2V 2W2, Canada"
Black Bellows Brewing Company,/brewers/black-bellows-brewing-company/27227/,Microbrewery,"40 Simcoe St, Collingwood, Ontario, L9Y 1H6, Canada"
Black Bridge Brewery (Canada),/brewers/black-bridge-brewery-canada/21065/,Microbrewery,"295 Alexander Drive, Swift Current, Saskatchewan, S9H 3W3, Canada"
Black Creek Historic Brewery (All or Nothing Brewhouse),/brewers/black-creek-historic-brewery-all-or-nothing-brewhouse/10478/,Brewpub/Brewery,"1000 Murray Ross Parkway, Toronto, Ontario, M3J 2P3, Canada"
Black Donnellys Brewing Co.,/brewers/black-donnellys-brewing-co/25377/,Microbrewery,"2740 Rd 164, West Perth, Ontario, N0K 1N0, Canada"
Black Gold Brewery (Canada),/brewers/black-gold-brewery-canada/44533/,Brewpub/Brewery,"395 Fletcher St, Petrolia, Ontario, N0N 1R0, Canada"
Black Kettle Brewing Company,/brewers/black-kettle-brewing-company/18491/,Microbrewery,"720 Copping Street, North Vancouver, British Columbia, V7M 3G6, Canada"
Black Lab Brewing,/brewers/black-lab-brewing/37625/,Microbrewery,"818 Eastern Avenue, Toronto, Ontario, M4L 1A1, Canada"
Black Oak Brewing Co.,/brewers/black-oak-brewing-co/1299/,Microbrewery,"75 Horner Avenue, Etobicoke, Ontario, M8Z 4X5, Canada"
Black Swan Brewing Co.,/brewers/black-swan-brewing-co/21120/,Microbrewery,"144 Downie St., Stratford, Ontario, N5A 1X1, Canada"
Black Wheat Brewing,/brewers/black-wheat-brewing/43937/,Microbrewery,"402 10th St, Brandon, Manitoba, R7A 4G2, Canada"
Blackburn Brew House,/brewers/blackburn-brew-house/46851/,Microbrewery,"8001 Blackburn Parkway, Niagara Falls, Ontario, L2H 0A6, Canada"
BLAKE Restaurant Brewhouse and Distillery,/brewers/blake-restaurant-brewhouse-and-distillery/48449/,Brewpub/Brewery,"810 Bow Valley Trail, Canmore, Alberta, T1W 1N6, Canada"
Blind Enthusiasm,/brewers/blind-enthusiasm/32011/,Brewpub/Brewery,"9570 - 76 Ave, Suite 102, Edmonton, Alberta, T6C0K2, Canada"
Blindman Brewing,/brewers/blindman-brewing/24707/,Microbrewery,"3413 53 Ave, Bay F, Lacombe, Alberta, T4L 0C6, Canada"
Block Three Brewing Co. [Block 3],/brewers/block-three-brewing-co-block-3/17551/,Microbrewery,"1430 King St. N, Unit 2, St. Jacobs, Ontario, N0B 2N0, Canada"
Blood Brothers Brewing,/brewers/blood-brothers-brewing/24533/,Microbrewery,"165 Geary Ave, Toronto, Ontario, M6H 3A7, Canada"
BNA Brewing Co.,/brewers/bna-brewing-co/23239/,Brewpub/Brewery,"1250 Ellis Street, Kelowna, British Columbia, V1Y 1Z4, Canada"
Boardwalk Brewing,/brewers/boardwalk-brewing/46785/,Microbrewery,"575 Seaborne Ave Unit 2155, Port Coquitlam, British Columbia, V3E 3G7, Canada"
Bob Magnale - Artisans Brasseurs,/brewers/bob-magnale-artisans-brasseurs/33837/,Microbrewery,"500-1 Rue Bonin, Acton Vale, Quebec, J0H 1A0, Canada"
Bobcaygeon Brewing Company,/brewers/bobcaygeon-brewing-company/22597/,Brewpub/Brewery,"4-649 The Parkway, Peterborough, Ontario, K9J 7K2, Canada"
Bogside Brewing,/brewers/bogside-brewing/40292/,Microbrewery,"11 Brook St, Montague, Prince Edward Island, C0A 1R0, Canada"
Boiling Oar Brewing Company,/brewers/boiling-oar-brewing-company/26477/,Microbrewery,"7930 51 Street SE, Calgary, Alberta, T2C4R2, Canada"
Boldwin (Collectif Brassicole Ensemble),/brewers/boldwin-collectif-brassicole-ensemble/27242/,Brewpub/Brewery,"1500, Rue Nobel, Boucherville, Quebec, J4B 5H3, Canada"
Bomber Brewing,/brewers/bomber-brewing/18880/,Microbrewery,"1488 Adanac st., Vancouver, British Columbia, V5L 2C3, Canada"
Bones Brewing (Canada),/brewers/bones-brewing-canada/44222/,Client Brewer,"British Columbia, Canada"
Bookstore Brewing,/brewers/bookstore-brewing/46628/,Microbrewery,"Winnipeg, Manitoba, Canada"
Boombox Brewing Company,/brewers/boombox-brewing-company/27439/,Microbrewery,"1950 Triumph St, Vancouver, British Columbia, V5L 1K5, Canada"
Boomstick Brewing Company,/brewers/boomstick-brewing-company/42136/,Microbrewery,"55 West St, Corner Brook, Newfoundland, A2H 2Y6, Canada"
